Attraction,City
Paris Le Marais District Original Food and Wine Tasting Tour,"Paris, France"
Seine River Guided Cruise Champagne Option by Vedettes de Paris,"Paris, France"
Eiffel Tower Access to 2nd Floor and Summit Option with Host,"Paris, France"
Paris - Segway Tour 120 min,"Paris, France"
Paris Private Flexible Duration Guided Tour on a Vintage Sidecar,"Paris, France"
Paris Saint Germain Walking Food Tour With Secret Food Tours,"Paris, France"
Paris Create your Own Perfume Workshop with a Perfumer,"Paris, France"
Louvre Museum Entrance Ticket,"Paris, France"
Loire Valley Castles Trip with Chenonceau and Chambord from Paris,"Paris, France"
Paris Bike Tour Hidden Secrets in the Latin Quarter & Le Marais neighborhoods,"Paris, France"
Giverny and Monet's House Guided Half Day Trip from Paris,"Paris, France"
Mont Saint-Michel Small-Group Trip with Cider Tasting from Paris,"Paris, France"
Giverny Half-day Small-group 2 - 7 people by Mercedes from Paris,"Paris, France"
Paris Seine River Gourmet Lunch Cruise with Champagne Option,"Paris, France"
Paris Wine Tasting plus Cheese Lunch with an Expert Sommelier Guide,"Paris, France"
Paris Late Lunch at Eiffel Tower's Madame Brasserie Restaurant,"Paris, France"
Musée d’Orsay Orsay Museum - Exclusive Guided Tour (Reserved Entry Included!),"Paris, France"
Eiffel Tower Guided Tour with Optional Access to the Summit,"Paris, France"
"Paris Highlights Bike Tour: Eiffel Tower, Louvre and Notre-Dame","Paris, France"
Versailles Domain Bike Tour with Palace Entry by Train from Paris,"Paris, France"
Disneyland® Paris Multi-Day Ticket,"Paris, France"
Paris Eiffel Tower Skip the Line by lift with Audio Guide Tour,"Paris, France"
Paris Seine River Gourmet Dinner Cruise with Champagne,"Paris, France"
Paris Segway Express Tour (12 monuments in 1 hour and 15 minutes),"Paris, France"
Croissant and Breakfast Pastry Class in Paris with a French Chef,"Paris, France"
Paris Wine and Cheese Pairing Small-Group Experience,"Paris, France"
Fontainebleau and Vaux le Vicomte Chateaux Day Trip from Paris,"Paris, France"
Paris Montmartre Walking Tour Best Art Culture and Food,"Paris, France"
"Entry ticket for the Louvre Museum, in Paris","Paris, France"
Paris Tootbus Discovery Hop-On Hop-Off Bus Tour,"Paris, France"
Paris by Night,"Paris, France"
Versailles Palace and Gardens Self Guided Tour from Paris,"Paris, France"
City Highlights Tour + Entry tickets for the Paris Catacombs,"Paris, France"
Orsay Museum Skip-the-Line Private or Small-Group Guided Tour,"Paris, France"
1st Day in Paris Discovery Private Tour: 'How-to' Orientation & Sightseeing Fun!,"Paris, France"
Guided Electric Scooter Tour of Paris,"Paris, France"
"Paris City Center ""History of Paris"" Guided Walking Tour - Semi-Private 8ppl Max","Paris, France"
Paris Cheesemaking Workshop including Wine and Cheese Tasting with an Expert,"Paris, France"
Mille Feuille Napoléon Pastry Class in Paris,"Paris, France"
Saint-Germain The Original Chocolate Tasting Tour with Pastries and Macaron,"Paris, France"
"Paris by Night Walking Tour: Ghosts, Mysteries and Legends","Paris, France"
Paris Latin Quarter Pub Crawl Bars and Clubs,"Paris, France"
Arc de Triomphe + Rooftop Access Tickets,"Paris, France"
Normandy D-Day Landing Beaches Small-Group Day Trip from Paris,"Paris, France"
Emily in Paris The Unofficial Tour,"Paris, France"
Family experience-Macaron Bakery Class at Galeries Lafayette,"Paris, France"
Paris Late Dinner at Eiffel Tower's Madame Brasserie Restaurant,"Paris, France"
Guided Eiffel Tower Climbing Experience & Optional Summit Upgrade,"Paris, France"
Musee Rodin Skip The Line Tickets,"Paris, France"
Louvre Museum Skip the Line Access with Guidance to the Mona Lisa,"Paris, France"
Giverny & Monet's House Audio Guided Half-day Tour from Paris,"Paris, France"
"Versailles Private Day Excursion with Palace, Gardens & Trianon","Paris, France"
Custom a unique denim jacket with French celebrities’ designer,"Paris, France"
ESSENTIAL MONTMARTRE Walking Tour: the essential highlights+MORE!,"Paris, France"
Paris Evening Bike Tour with 1-hour Seine River Cruise,"Paris, France"
"Eiffel Tower Access to 2nd Floor with Summit Option, Seine Cruise","Paris, France"
Unforgettable tour of Paris at night in a vintage car,"Paris, France"
Tour of the Musée Yves Saint Laurent Paris,"Paris, France"
Skip the Line Catacombs Ticket and Seine River Cruise option,"Paris, France"
Paris Private Foodie Tour: French Tastes in the trendy Les Marais Quarter,"Paris, France"
Paris Louvre Small Group Tour with Pre-Reserved Tickets,"Paris, France"
Family Treasure Hunt at the Louvre Museum,"Paris, France"
Stade de France: Behind the Scenes Tour,"Paris, France"
Small Group City Center Paris Walking Tour,"Paris, France"
Paris Chocolate & Pastry Tasting Guided Tour,"Paris, France"
Paris Chocolate and Pastry Tour With Secret Food Tours,"Paris, France"
Professional Eiffel Tower Photo Tour with VOGUE Photographer,"Paris, France"
Paris Art of Pairing Cheese and Wine Tasting in a Cheese Cellar,"Paris, France"
Normandy Loire Valley 3-Days Trip with Mont Saint Michel and Castles from Paris,"Paris, France"
Craft a unique souvenir hat with Lady Gaga’s renowned hatmaker,"Paris, France"
Normandy D-Day Small-group 2 to 7 people to Top Sights from Paris,"Paris, France"
Paris Small-Group Macaron Making Class with a French Chef,"Paris, France"
Sainte-Chapelle and Conciergerie Guided Tour with Ticket in Paris,"Paris, France"
Entry Ticket for Paradox Museum Paris,"Paris, France"
Paris Pastry Class with Ferrandi Chef at Galeries Lafayette Paris,"Paris, France"
Private Family Tour of Louvre Museum. Specially designed for kids!,"Paris, France"
Arc de Triomphe and Seine River Cruise,"Paris, France"
Latin Quarter Le Quartier Latin Guided Walking Tour - Semi-Private 8ppl Max,"Paris, France"
Paris Highlights city tour on a vintage Sidecar Motorcycle,"Paris, France"
Paris Macaron Small-Group Walking Tour of Saint Germain Including Tasting,"Paris, France"
Paris Eiffel Tower Ticket Tour and 2nd Floor via Stairs,"Paris, France"
Seine River Sightseeing Cruise and Lunch at Le Bistro Parisien,"Paris, France"
Visit the Louvre with a guide in english,"Paris, France"
Emily in Paris Tour in a Vintage Citroën DS with Open-Roof,"Paris, France"
Admission ticket Arsène Lupine and the secret of the Opera,"Paris, France"
Le Marais District & Jewish Quarter - Exclusive Guided Walking Tour,"Paris, France"
Louvre Museum Skip the Line Access Audio Guided Tour,"Paris, France"
Paris Food Tour : Montmartre Like a Local,"Paris, France"
Vintage 2CV Adventure: 3-Hour Paris Secrets Tour,"Paris, France"
Vintage 2CV Adventure: 3-Hour Paris Secrets Tour,"Paris, France"
Paris Vintage Half Day Tour on a Sidecar Motorcycle,"Paris, France"
Paris Bar Crawl,"Paris, France"
Paris Private and Customized Tour with Driver-Guide for Layovers,"Paris, France"
Disneyland® Paris Express Shuttle with Admission Ticket from Central Paris,"Paris, France"
"THE Ultimate Wine and Cheese Tasting (10 cheeses, 10 wines)","Paris, France"
"Loire Castles : Chenonceau, Cheverny, Chambord Guided Tour from Paris by minivan","Paris, France"
Escape game in Montmartre,"Paris, France"
Private Cruise to Discover Paris,"Paris, France"
1h30 Private Electric Tuktuk Tour in Paris,"Paris, France"
Direct Entry Ticket to Louvre Museum,"Paris, France"
Paris Early Dinner at Eiffel Tower's Madame Brasserie Restaurant,"Paris, France"
Private 2-Hour Guided Tour in Orsay Museum Paris,"Paris, France"
Louvre Entry Ticket with Audio Guide,"Paris, France"
"Eiffel Tower Access, Seine Dinner Cruise and Moulin Rouge Show","Paris, France"
Your Photoshoot in Paris,"Paris, France"
Paris Dinner Show 3 Courses Bel Canto Opera,"Paris, France"
"Le Marais/Paris - The Historic, Trendy, Jewish, LGBT district","Paris, France"
Seine River Guided Cruise with Kids by Vedettes de Paris,"Paris, France"
Paris: Flexible Entrance Tickets to Arc De Triomphe Rooftop,"Paris, France"
Explore Hidden bars and Speakeasies in Paris,"Paris, France"
"Pointe du Hoc,Omaha Beach, American Cemetery - Day trip from Paris to Normandy","Paris, France"
Paris Grevin Wax Museum Ticket,"Paris, France"
Disneyland® Paris 1 Day Ticket Entrance by Round-Trip Train from Paris,"Paris, France"
Make Your Own Bottle of Wine in the Center of Paris,"Paris, France"
Vintage 2CV Adventure: 2-Hour Paris Highlights Tour,"Paris, France"
Paris Museum of Illusions Entry Ticket,"Paris, France"
Photographer in Paris,"Paris, France"
Guided Tour of Sacré-Coeur and Montmartre,"Paris, France"
Night / Sunset Tour of Paris in Electric Bike,"Paris, France"
Fabuleux Guided Tour Through the Louvre Museum with Reserved Access,"Paris, France"
"Arc de Triomphe, River Cruise and Hop-On Hop-Off Bus","Paris, France"
Top Tier Eiffel Tower Skip the Line Semi-Private Tour,"Paris, France"
Louvre Museum Reserved Access Tour,"Paris, France"
Choco-Story Paris - The Chocolate Museum,"Paris, France"
Paris Iconic Neighborhoods Guided Walking Tour,"Paris, France"
Best Bits of Paris - 40 Favourites - Walking Tour,"Paris, France"
Skip the Line: Musée de la Magie Admission Ticket,"Paris, France"
Wheelchair-Friendly Louvre Private Guided Tour,"Paris, France"
Transfer From/To Paris Charles De Gaulle Airport (CDG),"Paris, France"
"Montmartre Food Tour - Cheese, Chocolate, Wine and more!","Paris, France"
Louvre Guided Tour with an Artist (6ppl Max & Entry incl.),"Paris, France"
Arc de Triomphe Rooftop Priority Access,"Paris, France"
The Ultimate Rodin Museum Private Guided Tour,"Paris, France"
VIP Montmartre Walking Tour with Private Vineyard Wine Tasting,"Paris, France"
Airport Transfer Service Shuttle Disneyland Paris Taxi,"Paris, France"
Visite guidée de Montmartre avec un guide local en petit groupe,"Paris, France"
"Montmartre Food Tour - Bakeries, Chocolate and Patisseries","Paris, France"
Private transfer from Paris or CDG / ORY airport to Versailles,"Paris, France"
Private One-Way Transfer: City of Paris,"Paris, France"
Musée de l'Orangerie Skip The Line Access Tickets,"Paris, France"
Seine River Cruise with commentary one hour Seine Cruise,"Paris, France"
Paris Bastille Day Seine River Dinner Cruise by Bateaux Mouches,"Paris, France"
Laugh Your Way through the Louvre Official Tour,"Paris, France"
Montmartre Scavenger Hunt and Best Landmarks Self-Guided Tour,"Paris, France"
One-way private transfer from Paris Airports,"Paris, France"
Olympic Games Bike Tour in Paris,"Paris, France"
Summit Eiffel Tower Skip the Queue Ticket and Audio Guide Tour,"Paris, France"
Petit Palais Paris Museum of Fine Arts Tour with Tickets,"Paris, France"
"Le Marais Food Tour - Cheese, Chocolate, Wine and more!","Paris, France"
Macarons Small Group French Cooking Class with a Parisian Chef,"Paris, France"
Paris Romantic & Private Tour By Night on a Sidecar Ural,"Paris, France"
Private Louvre Museum Tour for Kids & Families with Alberto or his team in Paris,"Paris, France"
Giverny Monet's House & Versailles Palace Private Day Trip from Paris,"Paris, France"
Explore the Louvre with a Local Guide Private Tour,"Paris, France"
Paris World War 2 The true story of the Occupation 1940-1944 Small group tour,"Paris, France"
Skip-the-Line Versailles Palace Family 5-hour Discovery from Paris,"Paris, France"
Private Paris Segway Night Tour,"Paris, France"
Versailles Château & Gardens Walking Tour from Paris by Train,"Paris, France"
Paris Champagne & Food Tour with Tastings in Saint-Germain,"Paris, France"
Bastille's Architecture & Artisans Self-Guided Walking Tour,"Paris, France"
Emily in Paris tour,"Paris, France"
Loire Valley Castles and Wine Small-Group Day Trip from Paris,"Paris, France"
Perfumed Discovery Workshop 50mL in Paris,"Paris, France"
Bruges Day Trip with Audio Guide Option from Paris,"Paris, France"
Paris Half Day Private Sightseeing Tour with a Driver,"Paris, France"
Paris at the First Lodges - Ducasse sur Seine dinner cruise,"Paris, France"
Normandy D-Day and Mont Saint Michel Private Day Trip from Paris,"Paris, France"
Painting or sculpture drawing lessons in Paris 09 (9th arrondissement),"Paris, France"
Fly Over France Virtual Reality Experience,"Paris, France"
"Marais HiddenTreasures, audioguided walking tour","Paris, France"
Illuminations Tour & Moulin Rouge Show with Seine Cruise option,"Paris, France"
Private Versailles Tour with Guide + Round Trip Transport from Paris,"Paris, France"
Edith Piaf Outdoor Escape Game in Paris,"Paris, France"
Small-Group Luxembourg Gardens Walking Tour in Paris,"Paris, France"
Marmottan Monet Musée Skip The Line,"Paris, France"
Musée d'Orsay Museum Audio Guided Skip-the-Line access,"Paris, France"
Paris Deluxe Shore Excursion from Le Havre Cruise Port,"Paris, France"
Paris Boat Tour with audioguide,"Paris, France"
Orsay & Rodin Museum with Hop-On Hop-Off Seine River Boat,"Paris, France"
Montmartre Self-Guided Audio Tour: More Than Meets the Eye,"Paris, France"
Skip-the-line Les Invalides World War Museum Guided Tour - Semi-Private 8ppl Max,"Paris, France"
Paris St Germain Wine Tasting,"Paris, France"
Small-Group Eiffel Tower Tour with Reserved Entry & Summit Access,"Paris, France"
Highlights & Hidden Gems of Ile de Cité & the Left Bank: Private City Tour,"Paris, France"
Louvre Museum Skip-the-Line Small-Group Guided Tour,"Paris, France"
Bruges Small-group Full-day trip by Minivan from Paris,"Paris, France"
Paris Airport Layover Tour,"Paris, France"
Mont Saint-Michel Small-group by Minivan from Paris with Calvados,"Paris, France"
"Paris Sightseeing, Marais and Secrets Bike Tour","Paris, France"
Eiffel Tower Entry Ticket to Second Floor by Elevator with Views,"Paris, France"
Private transfer from Paris to Disneyland,"Paris, France"
Segway tour Capital sites,"Paris, France"
1h30 E-Quad ride in Paris,"Paris, France"
Mont Saint Michel Guided Tour with Abbey Visit from Paris,"Paris, France"
Paris Gourmet Food and Louvre Skip-the-Line Guided Tour in 1 Day,"Paris, France"
Walking Tour of Montmartre,"Paris, France"
Paris Picturesque Tour with Seine river Cruise,"Paris, France"
Paris Highlights & Monuments,"Paris, France"
Workshop in Paris: Learn to Make your Own Chocolates,"Paris, France"
Paris: Food Tour with Montmartre History & Highlights,"Paris, France"
Paris: Orsay Museum with Optional Seine River Cruise Tickets,"Paris, France"
Paris Conciergerie Entrance Ticket,"Paris, France"
Paris Sightseeing Tour with Seine River Cruise from Disneyland®,"Paris, France"
Paris Le Marais Historical Walking Tour with Wine and Cheese Tasting,"Paris, France"
Mont Saint Michel Private Day Trip from Paris,"Paris, France"
Private Tour: Opera Garnier and Passages Couverts,"Paris, France"
Table Manners a la française,"Paris, France"
Arc de Triomphe Rooftop Access Tour,"Paris, France"
Paris: Your Own Private Photoshoot at Louvre Museum,"Paris, France"
Custom Your Sneakers Into a Piece Of Art in Paris,"Paris, France"
Personal Workshop in Paris 100% Natural Skincare Routine,"Paris, France"
Versailles Domain Audio Guided Half Day Tour from Paris,"Paris, France"
Eiffel Tower Private Photoshoot With a Professional Photographer,"Paris, France"
Musée d' Orsay Skip The Line Access Tickets and Audio Guided,"Paris, France"
Coco Chanel's Paris: A Self-Guided Audio Tour,"Paris, France"
Ghost & Haunted Walking Tour in Eiffel Tower Exterior at Night,"Paris, France"
Île de la Cité - Sainte-Chapelle & Conciergerie Tour Private Tour,"Paris, France"
Disneyland® Paris Round-Trip Coach Transport from City Center,"Paris, France"
"Paris Fashion Tour The True Story of Chanel, Dior, L Vuitton","Paris, France"
Fun Pastry Class for Kids and Family in Paris,"Paris, France"
Skip The line Louvre Museum Ticket and Guided Tour,"Paris, France"
Segway by night ! Illuminated Paris,"Paris, France"
Semi-Private Louvre Masterpieces with Reserved Entrance Time,"Paris, France"
Sunrise Run & Sightseeing in Paris,"Paris, France"
Belleville Street Art Tour with an Artist,"Paris, France"
Paris in a Day - Private Experience,"Paris, France"
The Best Of Paris by E-Scooter,"Paris, France"
Montmartre/Sacre-Coeur/Paris- Artistic & Bohemian Epicenter,"Paris, France"
Paris City Center & Louvre Museum Exclusive Guided Tour -Reserved Entry Included,"Paris, France"
The Paris Monuments Tour,"Paris, France"
Paris Private Photoshoot Experience,"Paris, France"
One-hour private photo shoot in Paris,"Paris, France"
Skip-the-line Invalides Dome Louis XIV & Napoleon Tour - Exclusive Guided Tour,"Paris, France"
Paris Cheeses and Wines Tour de France with Tasty Games,"Paris, France"
Paris Saint Germain Des Pres Walking Tour,"Paris, France"
Private transfer from PARIS city to CDG or ORY airport,"Paris, France"
Kids/teens escape game in Montmartre,"Paris, France"
Musee d'Orsay & Surroundings Private Tour,"Paris, France"
Private Tour of Saint Germain des Pres,"Paris, France"
Montmartre Tour Paris,"Paris, France"
Sweet & Chocolate Family Treasure Hunt in Paris,"Paris, France"
Paris Like a Local: Full-Day Custom Tour with Private Guide,"Paris, France"
A Gastronomic Dinner with a MasterChef winner,"Paris, France"
Orsay Museum Private Tour - Tickets & Local expert guide,"Paris, France"
3 Loire Valley Castles and Wine Tasting Private Guided Tour,"Paris, France"
Explore Montmartre like a local - Private walking tour,"Paris, France"
"Discover Paris with Local, 3 hour Segway Tour","Paris, France"
Small Group Marais Walking Tour,"Paris, France"
Louvre - Private Family Tour with Da Vinci Treasure Hunt - Entry Fees Included,"Paris, France"
Paris Photography Tour - Self Guided Tour of Paris' Top Instagram Spots,"Paris, France"
PRIVATE Paris Food Tour in Saint Germain District: 10 Tastings,"Paris, France"
Paris - CDG (One Way) Private Shuttle Transfer,"Paris, France"
Chartres and Its Cathedral: 5-Hour Tour from Paris with Private Transport,"Paris, France"
Paris Private Tour with Tuktukyourcity,"Paris, France"
Guided and Private Tour of Paris by Golf Cart,"Paris, France"
Private One Way Paris Airport (CDG-ORLY) Transfer Sedan From or To Paris,"Paris, France"
Eiffel and La Seine Photo Shoot - Paris Photographer,"Paris, France"
Paris: Exclusive Infinity Flying Dress Photoshoot @jonadress,"Paris, France"
"Paris Private Full Day Tour - Montmartre, French Lunch & Eiffel Tower","Paris, France"
"Secret Montmartre, smartphone audioguided tour","Paris, France"
Skip-the-line Rodin Museum - Exclusive Guided Tour,"Paris, France"
Paris Segway Tour with Ticket for Seine River Cruise,"Paris, France"
Giverny and Monet's Garden Half-Day Trip from Paris,"Paris, France"
Champagne Tour from Paris by minivan with Reims Cellars & Champagne Tasting,"Paris, France"
Paris Desserts and Pastries Small Group Cooking Class with a Chef,"Paris, France"
Paris Private Tour with Skip the line Tickets to Louvre Museum & French Crepes,"Paris, France"
Emily in Paris Walking Tour,"Paris, France"
"WW1 Australian Battlefield Day Tour from PARIS: Somme, Villers-Bretonneux...","Paris, France"
Paris: 2-Hour Musée d’Orsay Masterpieces Guided Tour,"Paris, France"
Montmartre Tour with a Local Guide: Private & 100% Personalized,"Paris, France"
Paris Airport Transfer: Paris Airport CDG to Paris by Luxury Van,"Paris, France"
Bus Toqué Champs-Elysées RIVE GAUCHE LUNCH Glass of Champagne,"Paris, France"
Paris Private Departure Transfer Charles de Gaulle (CDG) or Orly (ORY),"Paris, France"
Eiffel Tower Summit Semi-Private Guided Tour,"Paris, France"
The Champagne and cheese experience in Paris,"Paris, France"
Classic Tour of Paris in 2CV CITROEN,"Paris, France"
"Montmartre La Bohème : 2CV, Walking & Tasting - 3H","Paris, France"
"The Best of Paris Food Tour, EXPLORE FOOD TOURS.","Paris, France"
The Ultimate Louvre Experience (Payable Options: Breakfast and Boat Cruise),"Paris, France"
Normandy D-Day Tour Guided Small Group From Paris,"Paris, France"
Bruges Audio Guided or Guided Day Trip with Canal Cruise Option from Paris,"Paris, France"
Paris: Montmartre and Sacre Coeur Private Tour for Kids and Families,"Paris, France"
Paris By Night: 3-Hour Guided Bike Tour,"Paris, France"
Eiffel Tower Access to summit with Host,"Paris, France"
Private Guided Mont Saint Michel & D-day tour from Paris,"Paris, France"
Private Normandy D-Day Live guided Top 6 Sites trip from Paris,"Paris, France"
Private Historical Tour of Notre Dame,"Paris, France"
Best of Paris in 2 hours (for photos only and starting from Paris only),"Paris, France"
Palace Of Vaux-Le-Vicomte - Private Trip,"Paris, France"
2-Hour Private Tour in Paris,"Paris, France"
Eiffel Tower Small-Group Access to 2nd Floor by Elevator,"Paris, France"
Paris by TukTuk: 2-Hour Private Tour,"Paris, France"
Montmartre: Secret Stories of Paris - Self-Guided Audio Tour,"Paris, France"
Wine and Cheese Tasting in Paris,"Paris, France"
Paris Local Market & Bastille District Food Tasting Tour,"Paris, France"
The Best of the Louvre Museum: Private Guided Tour,"Paris, France"
"Le Marais Private Walking Tour with a Local, Explore its Old World Charm","Paris, France"
Private Departure Transfer from Paris to CDG or ORLY Airport,"Paris, France"
PARIS - Euro Disney (One Way) Private Shuttle Transfer,"Paris, France"
Cathedral Of Chartres - Private Trip,"Paris, France"
Private Full-Day Trip to Fontainebleau and Barbizon,"Paris, France"
Lunch at Madame Brasserie & Eiffel Tower Access with Cruise,"Paris, France"
One day Private Round Tour to Paris from Le Havre Port,"Paris, France"
Private Paris guided Tour by classic 1970 Mercedes S Class,"Paris, France"
The Famous Graves of Père Lachaise - Self-Guided Audio Tour,"Paris, France"
Latin Quarter: From La Sorbonne to the Pantheon,"Paris, France"
One Hour Père Lachaise Cemetery: A Self-guided Audio Tour,"Paris, France"
Eiffel Tower Summit Option with Seine River Cruise and City Tour,"Paris, France"
Buffalo Milk Mozzarella Workshop,"Paris, France"
Private Transfer: Paris to Disneyland Park or Hotel by Luxury Van,"Paris, France"
WWII Occupation & Liberation Outdoor Escape Game in Paris,"Paris, France"
Arc de Triomphe and the Champs-Elysees Discovery Private Tour,"Paris, France"
Secrets of Paris Tour Aboard a Vintage Citroën DS with Open-Roof,"Paris, France"
Paint and drink,"Paris, France"
Private Self Guided Walking Tour in Montmartre Paris,"Paris, France"
Loire Valley Day Trip with 3 Castles including Chambord and Chenonceau,"Paris, France"
Eiffel Tower: Summit Option plus Seine River Cruise and City Tour,"Paris, France"
Musée de l'Orangerie Dedicate Entrance Tickets,"Paris, France"
Eiffel Tower 2 Floor Access With Guide,"Paris, France"
"Royal Palace & Covered Passages, audioguided tour","Paris, France"
Montmartre 70's Tour aboard a classic Citroën DS with Open-roof,"Paris, France"
Drive the LAMBORGHINI Huracan near the Eiffel Tower,"Paris, France"
"Latin Quarter Food Tour - Bakeries, Chocolate & Patisseries","Paris, France"
Paris: 1 Hour Seine River Cruise Ticket,"Paris, France"
Street Art Workshop on Canvas,"Paris, France"
Small Group Walking Tour in Montmartre,"Paris, France"
Priority Pass to Arc De Triomphe Rooftop & Seine Cruise,"Paris, France"
Best of the Left Bank: Self-Guided Tour of the Latin Quarter,"Paris, France"
2-Hour Jewish History Guided Tour In Marais,"Paris, France"
Paris Eternelle Notre-Dame Virtual Reality Tour,"Paris, France"
"Rodin Museum, Skip The Line, Private Tour in Paris","Paris, France"
Eiffel Tower Tour with a Guide and Elevator Access,"Paris, France"
Paris Boat River Seine Cruise Sightseeing TICKETS,"Paris, France"
Guided Tour of Galeries Lafayette Paris Haussmann,"Paris, France"
Eiffel Tower Ticket with Louvre Museum and Seine River Cruise,"Paris, France"
Louvre Accompaniment to Mona Lisa with Skip the Line Entrance,"Paris, France"
Paris Saint Germain (PSG) Soccer Match VIP Ticket,"Paris, France"
Ticket to the L'Orangerie Museum,"Paris, France"
2 Hour Walk in Montmartre,"Paris, France"
Private Parisian Photo Shoot in Montmartre,"Paris, France"
DDay Beaches small group tour in Normandy from Paris,"Paris, France"
Paris Gems & Charms Tour for Cruise Passengers from Le Havre,"Paris, France"
"Paris on Your Own : Scenic, Savory & Stylish Day from Le Havre","Paris, France"
Paris Catacombs Hosted With Access Tickets,"Paris, France"
Kid-friendly Paris City Center Tour and Catacombs Entry Tickets,"Paris, France"
Eiffel Tower and Seine River Cruise Self- Guided Audio Tour,"Paris, France"
Paris Hop-On Hop-Off Bus Full Day Tour,"Paris, France"
Seine River Cruise flexible ticket with Audio in Paris - 1 Hour,"Paris, France"
Lupin Filming Locations on Private Paris Tour with Local Guide,"Paris, France"
Paris: Orsay Museum Timed-Entrance Ticket with Digital Audio,"Paris, France"
Secret Covered Passages Tour in Paris,"Paris, France"
3-Hour Private Electric Tuktuk Tour in Paris,"Paris, France"
From Paris: Château de Fontainebleau and Vaux-le-Vicomte,"Paris, France"
Chapel of Our Lady of the Miraculous Medal Paris Guided Tour,"Paris, France"
VIP Dinner on the Eiffel Tower Paris,"Paris, France"
Paris Picasso Museum Entrance And Audio Guided,"Paris, France"
Marais Tour With a Local,"Paris, France"
Louvre Museum & Musée d'Orsay - Exclusive Guided Tour (Reserved Entry Included!),"Paris, France"
Street Art tour in Paris - Discover Paris murals !,"Paris, France"
Paris Ile-de-la-Cité Walking Tour: Max 6 People Group or Private,"Paris, France"
Paris Night Segway tour,"Paris, France"
Private 3 Loire Valley Castles from Paris Mercedes Wine tasting,"Paris, France"
Giverny - Claude Monet's House & Gardens - Private Trip,"Paris, France"
BEST OF PARIS : 3 smartphone audioguided tours,"Paris, France"
Chablis 20 Exquisite Wines Tasting Trip in Small-Group from Paris,"Paris, France"
Paris Tour with Lunch at the Eiffel Tower and Seine River Cruise,"Paris, France"
Transfer from Paris Charles de Gaulle Airport to Paris,"Paris, France"
Louvre Murder and Mystery Tour,"Paris, France"
Packaged Cruise on Canal St Martin & Seine River,"Paris, France"
Private Burgundy 3 Domaines Chateau Pommard Chablis 15 Wines Trip,"Paris, France"
Private Seine Cruise,"Paris, France"
Private tour of various Monuments in Paris,"Paris, France"
Arrival Transfer from Paris Airport CDG to Paris in Private Van,"Paris, France"
LOIRE VALLEY: Your selection of three castles to visit (Day-trip from PARIS),"Paris, France"
Giverny Auvers Van Gogh Private Guided Day Tour from Paris,"Paris, France"
Le Marais Food Tour with a Local Guide: Private & Personalized,"Paris, France"
Private Covered Passages & Palais Royal Gardens 2-Hour Tour,"Paris, France"
All about meringue: a pastry & culinary arts workshop in Paris,"Paris, France"
Night Group Tour on Segway,"Paris, France"
Paris Highlights Sidecar Tour,"Paris, France"
Meeting with the artist Franck SADOCK in Paris 09 (9th arrondissement),"Paris, France"
Paris Eiffel Tower Vows Renewal Ceremony - Photoshoot and Video,"Paris, France"
Full-day Private Tour in Mont Saint Michel with Calvados Tasting,"Paris, France"
Guided tour of Paris in Citroën Traction Avant or DS 21,"Paris, France"
Mont Saint-Michel EXPRESS (day-trip from Paris by TGV - high speed train),"Paris, France"
